id,name,lat,lon
358912661,Ryssby Church,40.1397074,-105.2063759
358916552,Chapel in the Hills,39.8941534,-105.3355476
358916697,Sacred Heart of Mary Church,39.9888743,-105.195543
358917207,Ralston Church,39.8308199,-105.1647089
358918509,Concordia Lutheran Church,39.6935986,-105.1508202
358918546,Mother Cabrini Shrine,39.7066543,-105.2324892
358918616,Applewood Valley United Methodist Church,39.7480429,-105.1588755
358918620,Shepherd of the Hills Presbyterian Church,39.7469316,-105.1269301
358919038,JCRS Isaac Solomon Historic Synagogue (historical),39.7428157,-105.0690964
358919312,Mountain High Chapel,39.5639818,-105.2384179
358919324,Gilmore Chapel,39.6163768,-105.2413792
358919981,Brotherhood of the White Temple,39.3366567,-105.0372079
358920603,Elmwood Church,39.964151,-104.8338623
358921475,Shepherd of the Hills Lutheran Church,39.577541,-104.9615942
358921564,Bear Canyon Church,39.3680454,-104.9605383
358945952,Trinity Lutheran Church,40.0201155,-105.2812044
358945956,First Church of Christ Scientist,40.0209567,-105.2801741
358946060,Boulder Seventh-day Adventist Church,40.0208492,-105.2919414
358947372,Westview Presbyterian Church,40.1855404,-105.1305396
358947374,Spirit of Peace Catholicf Church,40.1852626,-105.1305396
358947376,Longmont Church of the Nazarene,40.1805404,-105.1285951
358947383,Faith Bible Chapel,39.9993742,-105.1223496
358947400,Rocky Mountain Christian Church,40.1030405,-105.1327623
358947403,Eternal Savior Lutheran Church,40.0124595,-105.130443
358947405,Saints Peter and Paul Greek Orthodox Church,40.0506174,-105.2222387
358947407,City On the Hill Church,40.0149852,-105.1791534
358947410,Jehovah's Witnesses,40.0008186,-105.195543
358947417,East Boulder Baptist Church,39.9988741,-105.1747089
358947419,Fairview Bible Chapel,39.9944296,-105.1749867
358947422,Boulder Valley Church of Christ,39.9913742,-105.1738755
358947427,Saint Ambrose Episcopal Church,39.9860964,-105.1783202
358947429,New Hope Family Christian Center,39.9819297,-105.168042
358947434,Flatirons Baptist Church,39.9863745,-105.2255441
358947451,The Church of Jesus Christ of Latter-day Saints,39.9872074,-105.1555415
358947458,Boulder First Church of the Nazarene,40.0516523,-105.2597118
358947460,Bethel United Methodist Church,40.0333189,-105.27249
358947468,First Methodist Episcopal Church,40.0197079,-105.2777681
358947472,Nederland Community Presbyterian Church,39.962487,-105.5119423
358947477,Saint Rita's Catholic Church,39.9633202,-105.50722
358947482,King of Glory Lutheran Church,39.8024866,-105.1105405
358947496,Holy Shepherd Lutheran Church,39.7316287,-105.1089178
358947793,Islamic Center of Boulder,40.000484,-105.2258783
358947800,The Church of Jesus Christ of Latter-day Saints,39.9347075,-105.0716498
358947803,Broomfield Community Church,39.9327631,-105.075261
358947808,Broomfield United Methodist Church,39.9299854,-105.0777611
358947815,Presbyterian Church of Broomfield,39.9227632,-105.071372
358947820,Broomfield Assembly of God Church,39.9127733,-105.0737641
358947829,First Baptist Church,39.8991534,-105.3444368
358948003,Longmont Buddhist Temple,40.1389986,-105.1028771
358948009,Saint John the Baptist Catholic Church,40.1652626,-105.0988718
358948013,Central Presbyterian Church,40.1659369,-105.1007773
358949640,Valley Bible Baptist Church,39.8125,-105.0427778
358949642,Simpson United Methodist Church,39.8061111,-105.0491667
358949645,Aurora Community Baptist Church,39.7453739,-104.8548074
358949647,Aurora First Presbyterian Church,39.7413889,-104.8591667
358949650,First Baptist Church,39.7422777,-104.8661422
358949652,New Nation Church of God in Christ,39.747799,-104.8628233
358949654,Saint Matthew Lutheran Church,39.7421645,-104.8661487
358949659,Church of God Prophecy,39.8036111,-104.9094444
358949664,Derby Bible Church,39.8280556,-104.9105556
358949689,Rose Hill Tabernacle,39.8127778,-104.9133333
358949693,Soul Care Full Gospel Center,39.8216667,-104.915
358949698,Berean Church,39.8777778,-104.9797222
358949701,Calvary Baptist Church,39.8558333,-104.9680556
358949708,Church of Christ,39.8558333,-104.9669444
358949715,The Church of Jesus Christ of Latter-day Saints,39.8397222,-105.0125
358949718,Fairview Baptist Church,39.8397366,-105.0199116
358949720,First Spanish Foursquare Church,39.8363889,-105.0147222
358949723,Mount Zion Lutheran Church,39.8356239,-104.9928874
358949726,New Song Fellowship Church,39.8458333,-105.0052778
358949728,Our Lady of the Assumption Church,39.8386111,-104.9580556
358949731,Thorton-Westminster First Church,39.8447222,-105.0041667
358949735,Valley Vista United Methodist Church,39.8352778,-105.0016667
358949744,First Southern Baptist Church,39.8891667,-104.9772222
358949748,Northglenn Christian Church,39.8880556,-104.9641667
358949751,Northglenn United Church of Christ,39.8872478,-104.9818281
358949753,Northside Baptist Church,39.9063889,-104.9766667
358949757,Mountain View Lutheran Church,39.8614494,-104.9682594
358949762,North Hills Church of God,39.8582487,-104.9671607
358949765,Rocky Mountain Gospel Chapel,39.8561111,-104.9597222
358949773,Advent Lutheran Church,39.8413889,-105.0363889
358949776,Apostolic Faith Tabernacle,39.8379307,-105.0443804
358949778,First Baptist Church of Westminster,39.8352778,-105.0347222
358949780,First Southern Baptist Church,39.8413907,-105.03393
358949783,Holy Trinity Catholic Church,39.8341693,-105.0266115
358949785,Westminster Presbyterian Church,39.8305556,-105.0397222
358949788,Westminster United Methodist Church,39.8350304,-105.0336625
358949793,Burns Memorial United Methodist Church,39.7325898,-104.8537906
358949796,The Church of Jesus Christ of Latter-day Saints,39.6308333,-104.8111111
358949801,Consolation Christian Church,39.7381301,-104.8556101
358949803,Faith Temple Church of God in Christ,39.7281772,-104.8436424
358949805,Grace And Love Fellowship Church,39.7379978,-104.8649517
358949808,Greater Faith Christian Center,39.7366667,-104.8619444
358949810,Hope Lutheran Church,39.7367523,-104.8556477
358949813,Kingdom Hall Jehovah's Witnesses,39.6678517,-104.7806185
358949817,Korean Full Gospel Church,39.7381284,-104.8642717
358949821,Leake Memorial Methodist Church,39.7367123,-104.8643572
358949827,Mississippi Avenue Baptist Church,39.6972812,-104.8358333
358949829,Mount Olive Lutheran Church,39.6741667,-104.8547222
358949832,New Hope Community Church,39.6536111,-104.785
358949834,Peace With Christ Lutheran Church,39.6575,-104.7719444
358949837,Peaceful Rest Baptist Church,39.7344833,-104.856785
358949839,Queen of Peace Catholic Church,39.6987052,-104.8360222
358949842,Saint Mark's Lutheran Church,39.7287006,-104.8438505
358949844,Saint Martin In The Fields Episcopal Church,39.6313535,-104.7909896
358949846,Saint Pius Tenth Church,39.7369444,-104.8297222
358949849,Saint Therese Catholic Church,39.7361111,-104.8597222
